date,game_id,player_name,pts,reb,ast,pra,mp
2025-11-10,202511100ORL,Robert Williams,7.0,4.0,0.0,11.0,14:27
2025-11-10,202511100ORL,Sidy Cissoko,4.0,2.0,1.0,7.0,9:51
2025-11-10,202511100ORL,Duop Reath,0.0,0.0,0.0,0.0,3:50
2025-11-10,202511100ORL,Scoot Henderson,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100ORL,Damian Lillard,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100ORL,Rayan Rupert,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100ORL,Matisse Thybulle,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100ORL,Yang Hansen,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100ORL,Franz Wagner,19.0,9.0,6.0,34.0,36:26
2025-11-10,202511100ORL,Paolo Banchero,28.0,9.0,3.0,40.0,34:49
2025-11-10,202511100ORL,Desmond Bane,22.0,3.0,7.0,32.0,33:12
2025-11-10,202511100ORL,Anthony Black,8.0,4.0,2.0,14.0,32:25
2025-11-10,202511100ORL,Wendell Carter Jr.,19.0,9.0,5.0,33.0,29:41
2025-11-10,202511100ORL,Jett Howard,3.0,2.0,2.0,7.0,19:08
2025-11-10,202511100ORL,Goga Bitadze,7.0,5.0,1.0,13.0,17:48
2025-11-10,202511100ORL,Tristan Da Silva,2.0,3.0,0.0,5.0,17:14
2025-11-10,202511100ORL,Jonathan Isaac,7.0,6.0,0.0,13.0,13:44
2025-11-10,202511100ORL,Tyus Jones,0.0,0.0,0.0,0.0,5:33
2025-11-10,202511100ORL,Jamal Cain,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100ORL,Noah Penda,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100ORL,Jase Richardson,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100PHO,Trey Murphy III,21.0,10.0,4.0,35.0,32:53
2025-11-10,202511100PHO,Jeremiah Fears,15.0,2.0,1.0,18.0,30:41
2025-11-10,202511100PHO,Saddiq Bey,15.0,7.0,0.0,22.0,29:05
2025-11-10,202511100PHO,Herbert Jones,7.0,2.0,4.0,13.0,28:33
2025-11-10,202511100PHO,Kevon Looney,2.0,6.0,2.0,10.0,16:19
2025-11-10,202511100PHO,Derik Queen,12.0,6.0,1.0,19.0,24:58
2025-11-10,202511100PHO,Jose Alvarado,8.0,3.0,4.0,15.0,23:22
2025-11-10,202511100PHO,Karlo Matković,11.0,2.0,2.0,15.0,16:43
2025-11-10,202511100PHO,Micah Peavy,4.0,1.0,0.0,5.0,16:09
2025-11-10,202511100PHO,Jordan Hawkins,1.0,1.0,0.0,2.0,16:00
2025-11-10,202511100PHO,Bryce McGowens,2.0,0.0,0.0,2.0,5:17
